player,row,col,board,result,elapsed_time,step
O,0,2,"[[None, 'O', 'O'], [None, 'X', None], [None, None, None]]",,1.437888,2
X,2,1,"[[None, 'O', 'O'], [None, 'X', None], [None, 'X', None]]",,2.974348,3
O,1,2,"[[None, 'O', 'O'], [None, 'X', 'O'], [None, 'X', None]]",,2.978626,4
X,2,2,"[[None, 'O', 'O'], [None, 'X', 'O'], [None, 'X', 'X']]",,4.365568,5
O,0,0,"[['O', 'O', 'O'], [None, 'X', 'O'], [None, 'X', 'X']]",O,4.365913,6
O,0,1,"[[None, 'O', None], [None, None, None], [None, None, None]]",,0.000531,0
X,1,1,"[[None, 'O', None], [None, 'X', None], [None, None, None]]",,1.255749,1
O,0,0,"[['O', 'O', None], [None, 'X', None], [None, None, None]]",,1.256196,2
X,1,0,"[['O', 'O', None], ['X', 'X', None], [None, None, None]]",,3.590622,3
O,2,1,"[['O', 'O', None], ['X', 'X', None], [None, 'O', None]]",,3.591143,4
X,2,0,"[['O', 'O', None], ['X', 'X', None], ['X', 'O', None]]",,5.464428,5
O,1,2,"[['O', 'O', None], ['X', 'X', 'O'], ['X', 'O', None]]",,5.464978,6
X,0,2,"[['O', 'O', 'X'], ['X', 'X', 'O'], ['X', 'O', None]]",X,7.968032,7
O,1,1,"[[None, None, None], [None, 'O', None], [None, None, None]]",,0.00051,0
X,0,2,"[[None, None, 'X'], [None, 'O', None], [None, None, None]]",,3.920067,1
O,2,2,"[[None, None, 'X'], [None, 'O', None], [None, None, 'O']]",,3.920624,2
X,2,1,"[[None, None, 'X'], [None, 'O', None], [None, 'X', 'O']]",,6.348443,3
O,0,1,"[[None, 'O', 'X'], [None, 'O', None], [None, 'X', 'O']]",,6.348949,4
X,2,0,"[[None, 'O', 'X'], [None, 'O', None], ['X', 'X', 'O']]",,13.333145,5
O,0,0,"[['O', 'O', 'X'], [None, 'O', None], ['X', 'X', 'O']]",O,13.333691,6
O,2,2,"[[None, None, None], [None, None, None], [None, None, 'O']]",,0.000484,0
X,1,1,"[[None, None, None], [None, 'X', None], [None, None, 'O']]",,1.329387,1
O,2,1,"[[None, None, None], [None, 'X', None], [None, 'O', 'O']]",,1.329876,2
X,1,0,"[[None, None, None], ['X', 'X', None], [None, 'O', 'O']]",,3.857987,3
O,1,2,"[[None, None, None], ['X', 'X', 'O'], [None, 'O', 'O']]",,3.858561,4
X,0,2,"[[None, None, 'X'], ['X', 'X', 'O'], [None, 'O', 'O']]",,8.582366,5
O,2,0,"[[None, None, 'X'], ['X', 'X', 'O'], ['O', 'O', 'O']]",O,8.582918,6
O,0,2,"[[None, None, 'O'], [None, None, None], [None, None, None]]",,0.000513,0
X,0,0,"[['X', None, 'O'], [None, None, None], [None, None, None]]",,1.712609,1
O,2,0,"[['X', None, 'O'], [None, None, None], ['O', None, None]]",,1.713175,2
X,0,1,"[['X', 'X', 'O'], [None, None, None], ['O', None, None]]",,3.816368,3
O,2,1,"[['X', 'X', 'O'], [None, None, None], ['O', 'O', None]]",,3.816903,4
X,2,2,"[['X', 'X', 'O'], [None, None, None], ['O', 'O', 'X']]",,7.714332,5
O,1,2,"[['X', 'X', 'O'], [None, None, 'O'], ['O', 'O', 'X']]",,7.723367,6
X,1,1,"[['X', 'X', 'O'], [None, 'X', 'O'], ['O', 'O', 'X']]",X,12.362413,7
O,2,0,"[[None, None, None], [None, None, None], ['O', None, None]]",,0.000506,0
X,1,1,"[[None, None, None], [None, 'X', None], ['O', None, None]]",,1.216667,1
O,1,2,"[[None, None, None], [None, 'X', 'O'], ['O', None, None]]",,1.217254,2
X,2,2,"[[None, None, None], [None, 'X', 'O'], ['O', None, 'X']]",,2.104734,3
O,2,1,"[[None, None, None], [None, 'X', 'O'], ['O', 'O', 'X']]",,2.105213,4
X,1,0,"[[None, None, None], ['X', 'X', 'O'], ['O', 'O', 'X']]",,6.923507,5
O,0,1,"[[None, 'O', None], ['X', 'X', 'O'], ['O', 'O', 'X']]",,6.924154,6
X,0,0,"[['X', 'O', None], ['X', 'X', 'O'], ['O', 'O', 'X']]",X,9.067561,7
O,0,0,"[['O', None, None], [None, None, None], [None, None, None]]",,0.000212,0
X,2,0,"[['O', None, None], [None, None, None], ['X', None, None]]",,4.644226,1
O,2,2,"[['O', None, None], [None, None, None], ['X', None, 'O']]",,4.644926,2
X,1,1,"[['O', None, None], [None, 'X', None], ['X', None, 'O']]",,6.292125,3
O,1,0,"[['O', None, None], ['O', 'X', None], ['X', None, 'O']]",,6.292656,4
X,0,2,"[['O', None, 'X'], ['O', 'X', None], ['X', None, 'O']]",X,12.180421,5
O,0,2,"[[None, None, 'O'], [None, None, None], [None, None, None]]",,0.000512,0
X,0,1,"[[None, 'X', 'O'], [None, None, None], [None, None, None]]",,1.847756,1
O,2,1,"[[None, 'X', 'O'], [None, None, None], [None, 'O', None]]",,1.848349,2
X,1,1,"[[None, 'X', 'O'], [None, 'X', None], [None, 'O', None]]",,5.386901,3
O,2,0,"[[None, 'X', 'O'], [None, 'X', None], ['O', 'O', None]]",,5.387459,4
X,1,2,"[[None, 'X', 'O'], [None, 'X', 'X'], ['O', 'O', None]]",,8.304833,5
O,2,2,"[[None, 'X', 'O'], [None, 'X', 'X'], ['O', 'O', 'O']]",O,8.305375,6
O,2,1,"[[None, None, None], [None, None, None], [None, 'O', None]]",,0.000506,0
X,0,0,"[['X', None, None], [None, None, None], [None, 'O', None]]",,2.133145,1
O,0,2,"[['X', None, 'O'], [None, None, None], [None, 'O', None]]",,2.133684,2
X,1,0,"[['X', None, 'O'], ['X', None, None], [None, 'O', None]]",,4.253641,3
O,2,0,"[['X', None, 'O'], ['X', None, None], ['O', 'O', None]]",,4.254262,4
X,1,1,"[['X', None, 'O'], ['X', 'X', None], ['O', 'O', None]]",,7.85354,5
O,1,2,"[['X', None, 'O'], ['X', 'X', 'O'], ['O', 'O', None]]",,7.854138,6
X,2,2,"[['X', None, 'O'], ['X', 'X', 'O'], ['O', 'O', 'X']]",X,12.653935,7
